index,phrase,recording_id,start,duration,channel,language,speaker,gloss,lemmata,fst_normalized,num_raw_variants,token_count
3611,kuku nggangatidijo wen nguco,HH20220403-1,1775.28,4.87,0,tic,Himidan,"1st.born.male.child[NOM,SG] aux taste-antip-caus[CLG,IT,IPFV,aux] parent/child-in-law[] soup[NOM,PL]",kúkù ŋgá ŋat̪-ið-ij ùn lúcɔ́,kúkù ŋgá_ŋát̪ìðìjɔ̀ ùn ŋúcɔ́,1,1
3612,kuku nggangatidiji wen nguco,HH20220403-1,1825.54,2.88,0,tic,Himidan,"1st.born.male.child[NOM,SG] aux taste-antip-caus[CLG,VENT,IPFV,aux] parent/child-in-law[] soup[NOM,PL]",kúkù ŋgá ŋat̪-ið-ij ùn lúcɔ́,kúkù ŋgá_ŋàt̪ìðìjí ùn ŋúcɔ́,1,2
3613,kuku nggangata nguco,HH20220403-1,616.87,3.41,0,tic,Himidan,"1st.born.male.child[NOM,SG] aux taste[CLG,IT,IPFV,aux] badness/sin[NOM,SG]",kúkù ŋgá ŋat̪ ŋʊ̀cɔ̀,kúkù ŋgá_ŋát̪à ŋʊ̀cɔ̀,1,2
3614,kuku nggangangico ngung,HH20210721,1425.954,2.47,0,tic,Himidan,"1st.born.male.child[NOM,SG] aux scratch-caus[CLG,IT,IPFV,aux] 3sg.poss[CLŊ]",kúkù ŋgá ŋaŋ-ij ɛ́<CL>úŋ,kúkù ŋgá_ŋáŋìjɔ̀ ɛ́ŋúŋ,1,1
3615,kuku nggapito kakangu ngomo,HH20221021,1142.955,2.378,0,tic,Himidan,"1st.born.male.child[NOM,SG] aux hit-ben[CLG,VENT,IPFV,aux] 1st.born.male.child[ACC,SG] food/bread[NOM,PL,left_h]",kúkù ŋgá p-it̪ kákà lɔ̀mɔ̀,kúkù ŋgá_pìt̪ɔ́ kákàŋú ŋɔ́mɔ̀,1,1
3616,kuku nggapite kakangu ngomo,HH20221021,1101.83,2.0,0,tic,Himidan,"1st.born.male.child[NOM,SG] aux hit-ben[CLG,IT,PFV,aux,left_h] 1st.born.male.child[ACC,SG] food/bread[NOM,PL,left_h]",kúkù ŋgá p-it̪ kákà lɔ̀mɔ̀,kúkù ŋgá_pít̪ɛ̀ kákàŋú ŋɔ́mɔ̀,1,1
3617,kuku nggapijino ore ndoba,HH20220124,979.686,1.792,0,tic,Himidan,"1st.born.male.child[NOM,SG] aux hit-caus-pass[CLG,VENT,IPFV,aux] support.pole[ACC,PL] tomorrow[]",kúkù ŋgá p-ij-in ðóɾó nd̪ɔ̀bà,kúkù ŋgá_pìjìnɔ́ ɔ́ɾɛ́ nd̪ɔ̀bà,1,1
3618,da apri v@leda,HH01082021,1046.235,1.651,0,tic,Himidan,"aux[CLÐ,IPFV] boy[NOM,SG,left_h] pull[IT,IPFV]",ŋgá àpɾí vəlɛð,ðá ápɾí və́lɛ̀ðà,1,5
3619,da apri v@led e,HH01082021,885.84,1.869,0,tic,Himidan,"aux[CLÐ,IT,PFV] boy[NOM,SG,left_h] pull[VENT,IPFV,left_h] hit[IT,PFV]",ŋgá àpɾí vəlɛð p,ðà ápɾí və́lɛ̀ðɔ́ pɛ̀,1,1
3620,da apri j@rau v@ledo ndobage,HH01152021,1042.49,2.62,0,tic,Himidan,"aux[CLÐ,IPFV] boy[NOM,SG,left_h] stab[CLJ,VENT,DEP] pull[VENT,IPFV] tomorrow[]",ŋgá àpɾí r vəlɛð nd̪ɔ̀bàgɛ̀,ðá ápɾí jə̀r̀à və̀lɛ̀ðɔ́ nd̪ɔ̀bàgɛ̀,1,1
3621,da apri j@rau v@leda ndobage,HH01152021,1100.295,2.31,0,tic,Himidan,"aux[CLÐ,IPFV] boy[NOM,SG,left_h] aux[CLJ,IT,PFV,left_h] pull[VENT,IMP] tomorrow[]",ŋgá àpɾí ŋgá vəlɛð nd̪ɔ̀bàgɛ̀,ðá ápɾí jâ və̀lɛ̀ðá nd̪ɔ̀bàgɛ̀,1,1
3622,da apr i v@lede unere,HH02262021,714.267,2.014,0,tic,Himidan,"aux[CLÐ,IT,PFV] boy[NOM,SG,left_h] eat[VENT,IPFV] pull[IT,PFV] yesterday[]",ŋgá àpɾí j vəlɛð ùnɛ́ɾɛ́,ðà ápɾí jɔ́ və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,1,2
3623,da apr i v@lede,HH02262021,678.145,1.773,0,tic,Himidan,"aux[CLÐ,IT,PFV] boy[NOM,SG,left_h] eat[VENT,IPFV] pull[IT,PFV]",ŋgá àpɾí j vəlɛð,ðà ápɾí jɔ́ və́lɛ̀ðɛ̀,1,4
3624,da apr i v@leda,HH02262021,793.81,1.468,0,tic,Himidan,"aux[CLÐ,IPFV] boy[NOM,SG,left_h] eat[VENT,IPFV] pull[IT,IPFV]",ŋgá àpɾí j vəlɛð,ðá ápɾí jɔ́ və́lɛ̀ðà,1,2
3625,d@waja kukungu dicelo,HH20230420-2-Zoom,2750.527,1.648,0,tic,Himidan,"wash[CLÐ,INF] 1st.born.male.child[ACC,SG] good[CLÐ]",waj kúkù icəlo,ðə́wájá kúkùŋú ðìcə̀lò,1,1
3626,d@vledong unere,HH01222021,2538.131,1.848,0,tic,Himidan,"pull[CLÐ,VENT,PFV,3SG.OBJ] yesterday[left_h]",vəlɛð ùnɛ́ɾɛ́,ðə̀və̀lɛ̀ðɔ́ŋ únɛ́ɾɛ́,1,2
3627,d@vledong,HH01222021,2534.131,0.74,0,tic,Himidan,"pull[CLÐ,VENT,PFV,3SG.OBJ]",vəlɛð,ðə̀və̀lɛ̀ðɔ́ŋ,1,1
3628,d@vledo unere,HH01222021,2578.053,3.447,0,tic,Himidan,"pull[CLÐ,VENT,PFV] yesterday[left_h]",vəlɛð ùnɛ́ɾɛ́,ðə̀və̀lɛ̀ðɔ́ únɛ́ɾɛ́,1,2
3629,d@vledo apri unere,HH02262021,747.066,3.174,0,tic,Himidan,"pull[CLÐ,VENT,PFV] boy[NOM,SG,left_h] yesterday[]",vəlɛð àpɾí ùnɛ́ɾɛ́,ðə̀və̀lɛ̀ðɔ́ ápɾí ùnɛ́ɾɛ́,1,1
3630,kuku nggapidu ena,HH20220925,1292.555,1.92,0,tic,Himidan,"1st.born.male.child[NOM,SG] aux hit-antip[CLG,VENT,IPFV,aux] gourd.piece[NOM,SG,left_h]",kúkù ŋgá p-ið ɛ̀là(1),kúkù ŋgá_pìðú ɛ́là,1,3
3631,kuku nggardongda ale,HH20210810,591.521,2.773,0,tic,Himidan,"1st.born.male.child[NOM,SG] aux push[CLG,IT,IPFV,aux] stone[ACC,SG]",kúkù ŋgá dɔŋð âl,kúkù ŋgá_dɔ́ŋðà álɛ́,1,2
3632,kuku nggarcidu unere,HH20221021,2436.901,2.909,0,tic,Himidan,"1st.born.male.child[NOM,SG] look.for-antip[CLŊ,VENT,PFV,left_h] yesterday[]",kúkù kaɾc-ið ùnɛ́ɾɛ́,kúkù ŋə́kàɾcìðú ùnɛ́ɾɛ́,1,3
3633,kuku nggarcidu ne l@ver,HH20221021,2597.058,2.0,0,tic,Himidan,"1st.born.male.child[NOM,SG] look.for-antip[CLŊ,VENT,PFV,left_h] aux[CLN,IT,PFV,3SG.OBJ,1SG.SBJ] field[NOM,SG]",kúkù kaɾc-ið ŋgá lə̀və́r,kúkù ŋə́kàɾcìðú nɛ̀ lə̀və́r,1,1
3634,kuku nggarcida to ne l@ver,HH20221021,2605.315,3.03,0,tic,Himidan,"1st.born.male.child[NOM,SG] look.for-antip[CLŊ,VENT,DEP,left_h] drink[VENT,IPFV] aux[CLN,IT,PFV,3SG.OBJ,1SG.SBJ] field[NOM,SG]",kúkù kaɾc-ið t̪ ŋgá lə̀və́r,kúkù ŋə́kàɾcìðà t̪ɔ́ nɛ̀ lə̀və́r,1,1
3635,kuku nggarci ngomo,HH20221021,2191.524,2.303,0,tic,Himidan,"1st.born.male.child[NOM,SG] look.for[CLŊ,VENT,PFV,left_h] food/bread[NOM,PL,left_h]",kúkù kaɾc lɔ̀mɔ̀,kúkù ŋə́kàɾcí ŋɔ́mɔ̀,1,2
3636,kuku nggarci aprina,HH20221127,2738.15,2.77,0,tic,Himidan,"1st.born.male.child[NOM,SG] look.for[CLŊ,VENT,PFV] boy[ACC,SG,left_h]",kúkù kaɾc àpɾí,kúkù ŋə̀kàɾcí ápɾíɲá,1,3
3637,kuku nggarcaci ngomo ne l@ver,HH20221021,2225.41,2.848,0,tic,Himidan,"1st.born.male.child[NOM,SG] look.for-loc[CLŊ,VENT,PFV,left_h] food/bread[NOM,PL,left_h] aux[CLN,IT,PFV,3SG.OBJ,1SG.SBJ] field[NOM,SG]",kúkù kaɾc-ac lɔ̀mɔ̀ ŋgá lə̀və́r,kúkù ŋə́kàɾcàcí ŋɔ́mɔ̀ nɛ̀ lə̀və́r,1,2
3638,kuku nggarato lido dun,HH20221028,991.064,3.163,0,tic,Himidan,"1st.born.male.child[NOM,SG] break-loc[CLŊ,VENT,PFV,left_h] pot[ACC,SG] home[NOM,SG]",kúkù kaɾ-at̪ lídí dún,kúkù ŋə́kàɾàt̪ɔ́ lídɔ́ dún,1,3
3639,kuku nggapoto ena ne l@ver,HH20220925,1655.83,2.75,0,tic,Himidan,"1st.born.male.child[NOM,SG] aux hit-loc[CLG,VENT,IPFV,aux] gourd.piece[NOM,SG,left_h] aux[CLN,IT,PFV,3SG.OBJ,1SG.SBJ] field[NOM,SG]",kúkù ŋgá p-ɛt̪ ɛ̀là(1) ŋgá lə̀və́r,kúkù ŋgá_pɔ̀t̪ɔ́ ɛ́là nɛ̀ lə̀və́r,1,3
3640,kuku nggapotidu ena ne l@ver,HH20220925,2074.28,1.933,0,tic,Himidan,"1st.born.male.child[NOM,SG] aux choose-antip[CLG,VENT,IPFV,aux] gourd.piece[NOM,SG,left_h] aux[CLN,IT,PFV,3SG.OBJ,1SG.SBJ] field[NOM,SG]",kúkù ŋgá ut̪-ið ɛ̀là(1) ŋgá lə̀və́r,kúkù ŋgá_ùt̪ìðú ɛ́là nɛ̀ lə̀və́r,1,1
3641,kuku nggapotido ena ne l@ver,HH20220925,1986.974,1.811,0,tic,Himidan,"1st.born.male.child[NOM,SG] aux hit-ben-antip[CLG,IT,IPFV,aux] gourd.piece[NOM,SG,left_h] aux[CLN,IT,PFV,3SG.OBJ,1SG.SBJ] field[NOM,SG]",kúkù ŋgá p-it̪-ið ɛ̀là(1) ŋgá lə̀və́r,kúkù ŋgá_pít̪ìðɔ̀ ɛ́là nɛ̀ lə̀və́r,1,3
3642,kuku nggapo odee ena,HH20220925,539.44,2.31,0,tic,Himidan,"1st.born.male.child[NOM,SG] aux hit[CLG,IT,IPFV,aux] gazelle/antelope[NOM,SG] gourd.piece[NOM,SG,left_h]",kúkù ŋgá p ùðɛ̀ ɛ̀là(1),kúkù ŋgá_pɔ̀ ùðɛ̀ ɛ́là,1,1
3643,kuku nggapo ode ena ne l@ver,HH20220925,2765.931,2.055,0,tic,Himidan,"1st.born.male.child[NOM,SG] aux hit[CLG,IT,IPFV,aux] gazelle/antelope[NOM,SG] gourd.piece[NOM,SG,left_h] aux[CLN,IT,PFV,3SG.OBJ,1SG.SBJ] field[NOM,SG]",kúkù ŋgá p ùðɛ̀ ɛ̀là(1) ŋgá lə̀və́r,kúkù ŋgá_pɔ̀ ùðɛ̀ ɛ́là nɛ̀ lə̀və́r,1,1
3644,kuku nggapo enaa,HH20220925,1151.495,3.07,0,tic,Himidan,"1st.born.male.child[NOM,SG] aux hit[CLG,VENT,IPFV,aux] 1pl.excl.poss[CLN]",kúkù ŋgá p ɛ́<CL>ǎj,kúkù ŋgá_pɔ́ ɛ́nǎj,1,1
3645,kuku nggapo ena jode ne l@ver,HH20220925,2577.089,1.655,0,tic,Himidan,"1st.born.male.child[NOM,SG] aux hit[CLG,IT,IPFV,aux] gourd.piece[NOM,SG,left_h] grind[CLJ,IT,DEP,left_h] aux[CLN,IT,PFV,3SG.OBJ,1SG.SBJ] field[NOM,SG]",kúkù ŋgá p ɛ̀là(1) ɔð ŋgá lə̀və́r,kúkù ŋgá_pɔ̀ ɛ́là jɔ́ðɛ̀ nɛ̀ lə̀və́r,1,2
3646,kuku nggapitoo wen ena,HH20220925,2937.958,3.922,0,tic,Himidan,"1st.born.male.child[NOM,SG] aux hit-ben[CLG,IT,IPFV,aux] wife[NOM,SG,3SG/3PL] gourd.piece[NOM,SG,left_h]",kúkù ŋgá p-it̪ wa ɛ̀là(1),kúkù ŋgá_pít̪ɔ̀ wáɛ́n ɛ́là,1,1
3647,kuku nggaro dowe,HH20221028,327.227,1.767,0,tic,Himidan,"1st.born.male.child[NOM,SG] break[CLŊ,VENT,PFV,left_h] stick[ACC,SG]",kúkù kaɾ ðô,kúkù ŋə́kàɾó ðówɛ́,1,1
3648,kuku nggariji aprina dowe,HH20221111,2819.129,3.8,0,tic,Himidan,"1st.born.male.child[NOM,SG] break-caus[CLŊ,VENT,PFV,left_h] boy[ACC,SG,left_h] stick[ACC,SG]",kúkù kaɾ-ij àpɾí ðô,kúkù ŋə́kàɾìjí ápɾíɲá ðówɛ́,1,1
3649,d@vledo ap ri unere,HH02262021,750.843,2.294,0,tic,Himidan,"pull[CLÐ,VENT,PFV] carry[IT,IPFV] trough[NOM,SG] yesterday[]",vəlɛð ap íɾí ùnɛ́ɾɛ́,ðə̀və̀lɛ̀ðɔ́ ápà íɾí ùnɛ́ɾɛ́,1,3
3650,d@vledo,HH01222021,2556.245,1.557,0,tic,Himidan,"pull[CLÐ,VENT,PFV]",vəlɛð,ðə̀və̀lɛ̀ðɔ́,1,1
3651,d@vero adam dic@lo,HH20230510-1,375.47,1.37,0,tic,Himidan,"return(transitive)[CLÐ,INF] book[NOM,SG,left_h] good[CLÐ]",vɜɽ àdám icəlo,ðə́vɔ́ɽɔ́ ádám ðìcə̀lò,1,3
3652,d@vara dic@lo,HH20220805-2,1529.852,1.26,0,tic,Himidan,"escape[CLÐ,INF] good[CLÐ]",vaɾ icəlo,ðə́váɾá ðìcə̀lò,1,3
3653,d@v@loco kukungu dic@lo,HH20230510-1,492.35,1.53,0,tic,Himidan,"visit[CLÐ,INF] 1st.born.male.child[ACC,SG] good[CLÐ]",vəlɛc kúkù icəlo,ðə́və́lɔ́cɔ́ kúkùŋú ðìcə̀lò,1,2
3654,d@v@ledongu unere,HH01152021,3013.205,1.62,0,tic,Himidan,"pull[CLÐ,VENT,PFV,3SG.OBJ] yesterday[]",vəlɛð ùnɛ́ɾɛ́,ðə̀və̀lɛ̀ðɔ́ŋú ùnɛ́ɾɛ́,1,1
3655,d@v@ledongu,HH01152021,3000.31,1.23,0,tic,Himidan,"pull[CLÐ,VENT,PFV,3SG.OBJ]",vəlɛð,ðə̀və̀lɛ̀ðɔ́ŋú,1,1
3656,d@v@ledongo unere,HH20201021,993.304,2.289,0,tic,Himidan,"pull[CLÐ,VENT,PFV,3SG.OBJ] yesterday[left_h]",vəlɛð ùnɛ́ɾɛ́,ðə̀və̀lɛ̀ðɔ́ŋú únɛ́ɾɛ́,1,3
3657,d@v@ledong apri na,HH01152021,3243.48,1.31,0,tic,Himidan,"pull[CLÐ,VENT,PFV,3SG.OBJ,left_h] boy[NOM,SG,left_h] aux[CLƝ,IT,PFV]",vəlɛð àpɾí ŋgá,ðə́və̀lɛ̀ðɔ́ŋ ápɾí ɲà,1,1
3658,d@v@ledong,HH02192021,2311.065,1.32,0,tic,Himidan,"pull[CLÐ,VENT,PFV,3SG.OBJ]",vəlɛð,ðə̀və̀lɛ̀ðɔ́ŋ,1,2
3659,d@v@ledo unere,HH02192021,2643.015,1.586,0,tic,Himidan,"pull[CLÐ,VENT,PFV] yesterday[]",vəlɛð ùnɛ́ɾɛ́,ðə̀və̀lɛ̀ðɔ́ ùnɛ́ɾɛ́,1,3
3660,kuku nggaridu unere,HH20221028,1191.777,1.57,0,tic,Himidan,"1st.born.male.child[NOM,SG] say-antip[CLŊ,VENT,PFV] yesterday[]",kúkù aɾ-ið ùnɛ́ɾɛ́,kúkù ŋàɾìðó ùnɛ́ɾɛ́,1,2
3661,kuku nggaridu t@man,HH20221118,155.095,1.41,0,tic,Himidan,"1st.born.male.child[NOM,SG] say-antip[CLŊ,VENT,PFV] boil[CLT̪,IT,DEP]",kúkù aɾ-ið man,kúkù ŋàɾìðó t̪ə̀mànì,1,2
3662,kuku nggaridu,HH20221028,1224.208,0.93,0,tic,Himidan,"1st.born.male.child[NOM,SG] say-antip[CLŊ,VENT,PFV]",kúkù aɾ-ið,kúkù ŋàɾìðó,1,2
3663,kuku nggotiji kakangu iro ijun,HH20221104,2050.145,2.32,0,tic,Himidan,"1st.born.male.child[NOM,SG] braid-caus[CLŊ,VENT,PFV,left_h] 1st.born.male.child[ACC,SG] insult[CLJ,VENT,PFV,left_h] letter[NOM,PL,left_h]",kúkù kɔt̪-ij kákà ɔɾ ðìjɔ̀,kúkù ŋə́kɔ̀t̪ìjí kákàŋú jɔ́ɾɔ́ íjɔ̀,1,1
3664,kuku nggotiji kakangu iro,HH20221104,2065.455,1.64,0,tic,Himidan,"1st.born.male.child[NOM,SG] braid-caus[CLŊ,VENT,PFV,left_h] 1st.born.male.child[ACC,SG] insult[CLJ,VENT,DEP,left_h]",kúkù kɔt̪-ij kákà ɔɾ,kúkù ŋə́kɔ̀t̪ìjí kákàŋú jɔ́ɾɔ̀,1,1
3665,kuku nggod@nona ngene,HH04232021,994.013,2.338,0,tic,Himidan,"1st.born.male.child[NOM,SG] look[CLÐ,INF] one[CLŊ]",kúkù nɔn <CL>ɛ́nɛ̀,kúkù ðə́nɔ́ná ŋɛ́nɛ̀,1,1
3666,kuku nggito kakangu awur,HH20221104,74.565,4.02,0,tic,Himidan,"1st.born.male.child[NOM,SG] allow[CLŊ,VENT,PFV,left_h] 1st.born.male.child[ACC,SG] urinate[VENT,IPFV,left_h]",kúkù eit̪ kákà aw,kúkù ŋéìt̪ɔ́ kákàŋú áwó,1,2
3667,kuku nggidoto kakangu awur,HH20221104,744.16,2.96,0,tic,Himidan,"1st.born.male.child[NOM,SG] open-loc[CLŊ,VENT,PFV,left_h] 1st.born.male.child[ACC,SG] urinate[VENT,IPFV,left_h]",kúkù kið-ɛt̪ kákà aw,kúkù ŋə́kìðɔ̀t̪ɔ́ kákàŋú áwó,1,2
3668,kuku nggidoto awur dun,HH20221104,505.135,2.21,0,tic,Himidan,"1st.born.male.child[NOM,SG] open-loc[CLŊ,VENT,PFV,left_h] urinate[VENT,IPFV,left_h] home[NOM,SG]",kúkù kið-ɛt̪ aw dún,kúkù ŋə́kìðɔ̀t̪ɔ́ áwó dún,1,2
3669,kuku nggido awur,HH20221104,34.32,2.46,0,tic,Himidan,"1st.born.male.child[NOM,SG] open[CLŊ,VENT,PFV,left_h] urinate[VENT,IPFV,left_h]",kúkù kið aw,kúkù ŋə́kìðɔ́ áwó,1,2
3670,kuku nggidito kakangu awur,HH20221104,92.06,2.85,0,tic,Himidan,"1st.born.male.child[NOM,SG] open-ben[CLŊ,VENT,PFV,left_h] 1st.born.male.child[ACC,SG] urinate[VENT,IPFV,left_h]",kúkù kið-it̪ kákà aw,kúkù ŋə́kìðìt̪ɔ́ kákàŋú áwó,1,2
3671,kuku nggenato lido dun,HH20221111,3010.189,2.08,0,tic,Himidan,"1st.born.male.child[NOM,SG] shatter-loc[VENT,IPFV] pot[ACC,SG] home[NOM,SG]",kúkù keɲ-at̪ lídí dún,kúkù kèɲàt̪ɔ́ lídɔ́ dún,1,3
3672,kuku nggatidu ndoba,HH20221104,1168.57,1.52,0,tic,Himidan,"1st.born.male.child[NOM,SG] aux drink-antip[CLG,VENT,IPFV,aux] tomorrow[]",kúkù ŋgá t̪-ið nd̪ɔ̀bà,kúkù ŋgá_t̪ìðú nd̪ɔ̀bà,1,1
3673,kuku nggatido ndoba,HH20221104,1052.68,1.54,0,tic,Himidan,"1st.born.male.child[NOM,SG] aux drink-antip[CLG,IT,IPFV,aux] tomorrow[]",kúkù ŋgá t̪-ið nd̪ɔ̀bà,kúkù ŋgá_t̪íðɔ̀ nd̪ɔ̀bà,1,4
3674,kuku nggarungu ndoba,HH20221009,2461.545,1.7000000000000002,0,tic,Himidan,"1st.born.male.child[NOM,SG] aux wait[CLG,VENT,IPFV,aux] tomorrow[]",kúkù ŋgá ruŋ nd̪ɔ̀bà,kúkù ŋgá_rùŋú nd̪ɔ̀bà,1,3
3675,kuku nggarungo ndoba,HH20221009,2432.775,1.73,0,tic,Himidan,"1st.born.male.child[NOM,SG] aux wait[CLG,IT,IPFV,aux] tomorrow[]",kúkù ŋgá ruŋ nd̪ɔ̀bà,kúkù ŋgá_rúŋɔ̀ nd̪ɔ̀bà,1,2
3676,kuku nggarungo,HH20221009,2363.06,1.75,0,tic,Himidan,"1st.born.male.child[NOM,SG] aux wait[CLG,IT,IPFV,aux]",kúkù ŋgá ruŋ,kúkù ŋgá_rúŋɔ̀,1,2
3677,kuku nggaro nggaro lido,HH20221028,800.691,2.523,0,tic,Himidan,"1st.born.male.child[NOM,SG] break[CLŊ,VENT,PFV,left_h] break[CLŊ,VENT,PFV,left_h] fall[CLL,VENT,DEP,left_h]",kúkù kaɾ kaɾ id,kúkù ŋə́kàɾó ŋə́kàɾó lídɔ̀,1,1
3678,kuku nggaro lido,HH20221028,853.086,1.675,0,tic,Himidan,"1st.born.male.child[NOM,SG] break[CLŊ,VENT,PFV,left_h] fall[CLL,VENT,DEP,left_h]",kúkù kaɾ id,kúkù ŋə́kàɾó lídɔ̀,1,3
3679,kukunga kakage langidu unere,HH20221009,344.895,1.95,0,tic,Himidan,"1st.born.male.child[ACC,SG] aux[CLG,IT,PFV,WH.CLASS,2SG.SBJ] see-antip[CLL,VENT,PFV] yesterday[]",kúkù ŋgá aŋ-ið ùnɛ́ɾɛ́,kúkùŋú ágàgɛ́ làŋìðú ùnɛ́ɾɛ́,1,2
3680,kukunga kakage langidu ndoba,HH20221009,459.65,2.44,0,tic,Himidan,"1st.born.male.child[ACC,SG] aux[CLG,IT,PFV,WH.CLASS,2SG.SBJ] see-antip[CLL,VENT,PFV,left_h] tomorrow[]",kúkù ŋgá aŋ-ið nd̪ɔ̀bà,kúkùŋú ágàgɛ́ láŋìðú nd̪ɔ̀bà,1,2
3681,kukunga kakage langidi unere,HH20221009,361.255,2.55,0,tic,Himidan,"1st.born.male.child[ACC,SG] aux[CLG,IT,PFV,WH.CLASS,2SG.SBJ] see-antip[CLL,IT,DEP,left_h] yesterday[]",kúkù ŋgá aŋ-ið ùnɛ́ɾɛ́,kúkùŋú ágàgɛ́ láŋìðì ùnɛ́ɾɛ́,1,2
3682,kukunga kakage langidate ne l@ver,HH20221009,717.745,3.2,0,tic,Himidan,"1st.born.male.child[ACC,SG] aux[CLG,IT,PFV,WH.CLASS,2SG.SBJ] see-antip-loc[CLL,IT,DEP,left_h] aux[CLN,IT,PFV,3SG.OBJ,1SG.SBJ] field[NOM,SG]",kúkù ŋgá aŋ-ið-at̪ ŋgá lə̀və́r,kúkùŋú ágàgɛ́ láŋìðàt̪ɛ̀ nɛ̀ lə̀və́r,1,1
3683,kukunga kakage langidata ne l@ver,HH20221009,776.56,2.08,0,tic,Himidan,"1st.born.male.child[ACC,SG] aux[CLG,IT,PFV,WH.CLASS,2SG.SBJ] see-antip-loc[CLL,VENT,DEP,left_h] aux[CLN,IT,PFV,3SG.OBJ,1SG.SBJ] field[NOM,SG]",kúkù ŋgá aŋ-ið-at̪ ŋgá lə̀və́r,kúkùŋú ágàgɛ́ láŋìðàt̪à nɛ̀ lə̀və́r,1,1
3684,kukunga kakage langidadu ne l@ver,HH20221009,1254.16,1.77,0,tic,Himidan,"1st.born.male.child[ACC,SG] aux[CLG,IT,PFV,WH.CLASS,2SG.SBJ] see-antip-loc[CLL,VENT,PFV] aux[CLN,IT,PFV,3SG.OBJ,1SG.SBJ] field[NOM,SG]",kúkù ŋgá aŋ-ið-at̪ ŋgá lə̀və́r,kúkùŋú ágàgɛ́ làŋìðàt̪ɔ́ nɛ̀ lə̀və́r,1,3
3685,kukunga kakage langida ndoba,HH20221009,391.96,2.73,0,tic,Himidan,"1st.born.male.child[ACC,SG] aux[CLG,IT,PFV,WH.CLASS,2SG.SBJ] see-antip[CLL,VENT,DEP,left_h] tomorrow[]",kúkù ŋgá aŋ-ið nd̪ɔ̀bà,kúkùŋú ágàgɛ́ láŋìðà nd̪ɔ̀bà,1,3
3686,kukunga kakage langi ora,HH20221009,290.8,2.33,0,tic,Himidan,"1st.born.male.child[ACC,SG] aux[CLG,IT,PFV,WH.CLASS,2SG.SBJ] see[CLL,IT,DEP,left_h] sibling[ACC,SG]",kúkù ŋgá aŋ àɾò,kúkùŋú ágàgɛ́ láŋì òɾà,1,1
3687,kukung nggapinji ore ndoba,HH20220131,742.7,1.6,0,tic,Himidan,"1st.born.male.child[ACC,SG] aux hit-pass-caus[CLG,VENT,IPFV,aux] support.pole[ACC,PL] tomorrow[]",kúkù ŋgá p-in-ij ðóɾó nd̪ɔ̀bà,kúkùŋú ŋgá_pìnìjí ɔ́ɾɛ́ nd̪ɔ̀bà,1,2
3688,kukung nggalapiji ore ndoba,HH20220131,674.845,2.74,0,tic,Himidan,"1st.born.male.child[ACC,SG] aux carry-caus[CLG,VENT,IPFV,3SG.OBJ,3SG.SBJ,aux] support.pole[ACC,PL] tomorrow[]",kúkù ŋgá ap-ij ðóɾó nd̪ɔ̀bà,kúkùŋú ŋgál_àpìjí ɔ́ɾɛ́ nd̪ɔ̀bà,1,3
3689,kukung aprina,HH20210707,1598.15,1.34,0,tic,Himidan,"1st.born.male.child[ACC,SG] boy[ACC,SG]",kúkù àpɾí,kúkùŋú àpɾíɲá,1,1
3690,kuku ngkaro dowe,HH20221028,323.364,1.477,0,tic,Himidan,"1st.born.male.child[NOM,SG] break[CLŊ,VENT,PFV,left_h] stick[ACC,SG]",kúkù kaɾ ðô,kúkù ŋə́kàɾó ðówɛ́,1,1
3691,kuku ngkarci ngomo ne l@ver,HH20221021,2366.107,2.0,0,tic,Himidan,"1st.born.male.child[NOM,SG] look.for[CLŊ,VENT,PFV,left_h] food/bread[NOM,PL,left_h] aux[CLN,IT,PFV,3SG.OBJ,1SG.SBJ] field[NOM,SG]",kúkù kaɾc lɔ̀mɔ̀ ŋgá lə̀və́r,kúkù ŋə́kàɾcí ŋɔ́mɔ̀ nɛ̀ lə̀və́r,1,1
3692,kuku nggwoto l@bo,HH04092021,2060.553,3.149,0,tic,Himidan,"1st.born.male.child[NOM,SG] repair[CLŊ,VENT,PFV,left_h] ball[NOM,SG,left_h]",kúkù kwɔt̪ lə̀bó,kúkù ŋə́kwɔ̀t̪ɔ́ lə́bó,1,2
3693,kuku nggotiniji kakangu iro ijun,HH20221104,1879.415,2.06,0,tic,Himidan,"1st.born.male.child[NOM,SG] braid-pass-caus[CLŊ,VENT,PFV,left_h] 1st.born.male.child[ACC,SG] insult[CLJ,VENT,PFV,left_h] letter[NOM,PL,left_h]",kúkù kɔt̪-in-ij kákà ɔɾ ðìjɔ̀,kúkù ŋə́kɔ̀t̪ìnìjí kákàŋú jɔ́ɾɔ́ íjɔ̀,1,1
3694,kuku nggotiniji kakangu iro,HH20221104,1850.445,2.1,0,tic,Himidan,"1st.born.male.child[NOM,SG] braid-pass-caus[CLŊ,VENT,PFV,left_h] 1st.born.male.child[ACC,SG] insult[CLJ,VENT,DEP,left_h]",kúkù kɔt̪-in-ij kákà ɔɾ,kúkù ŋə́kɔ̀t̪ìnìjí kákàŋú jɔ́ɾɔ̀,1,1
